v,alpha,a,b
2,0.1,0.2065,12.5208
3,0.1,0.5654,13.1532
4,0.1,1.02,14.18
5,0.1,1.5352,15.3498
6,0.1,2.093,16.5807
7,0.1,2.6828,17.8391
8,0.1,3.2981,19.1099
9,0.1,3.9343,20.3848
10,0.1,4.5883,21.6598
11,0.1,5.2573,22.9325
12,0.1,5.9397,24.2016
13,0.1,6.6337,25.4666
14,0.1,7.3382,26.7269
15,0.1,8.0521,27.9825
16,0.1,8.7745,29.2334
17,0.1,9.5047,30.4796
18,0.1,10.2421,31.7212
19,0.1,10.9861,32.9585
20,0.1,11.7362,34.1915
21,0.1,12.4919,35.4205
22,0.1,13.253,36.6455
23,0.1,14.0191,37.8668
24,0.1,14.7899,39.0844
25,0.1,15.565,40.2986
26,0.1,16.3443,41.5095
27,0.1,17.1275,42.7171
28,0.1,17.9144,43.9217
29,0.1,18.7049,45.1234
30,0.1,19.4987,46.3222
40,0.1,27.5919,58.1755
50,0.1,35.9012,69.8342
60,0.1,44.3661,81.3479
70,0.1,52.9501,92.7487
80,0.1,61.629,104.0584
90,0.1,70.386,115.2925
100,0.1,79.2086,126.4628
150,0.1,124.0372,181.6128
200,0.1,169.6646,235.9748
250,0.1,215.8057,289.8273
300,0.1,262.3132,343.3155
2,0.05,0.1015,15.1194
3,0.05,0.3449,15.5897
4,0.05,0.6918,16.5735
5,0.05,1.1092,17.7432
6,0.05,1.5776,18.9954
7,0.05,2.0851,20.2863
8,0.05,2.6235,21.5953
9,0.05,3.1874,22.9118
10,0.05,3.7729,24.2303
11,0.05,4.3768,25.5476
12,0.05,4.9967,26.8618
13,0.05,5.6308,28.1717
14,0.05,6.2776,29.4769
15,0.05,6.9357,30.777
16,0.05,7.6042,32.072
17,0.05,8.282,33.3619
18,0.05,8.9685,34.6467
19,0.05,9.6629,35.9266
20,0.05,10.3647,37.2016
21,0.05,11.0733,38.472
22,0.05,11.7882,39.7379
23,0.05,12.5092,40.9995
24,0.05,13.2357,42.257
25,0.05,13.9675,43.5105
26,0.05,14.7043,44.7601
27,0.05,15.4458,46.006
28,0.05,16.1917,47.2483
29,0.05,16.9419,48.4872
30,0.05,17.6961,49.7229
40,0.05,25.4233,61.9217
50,0.05,33.4085,73.892
60,0.05,41.5794,85.6914
70,0.05,49.8923,97.3573
80,0.05,58.3183,108.9153
90,0.05,66.8374,120.3839
100,0.05,75.4347,131.7767
150,0.05,119.2737,187.9079
200,0.05,164.0642,243.1025
250,0.05,209.4667,297.691
300,0.05,255.3057,351.8461
2,0.01,0.02,20.8264
3,0.01,0.114,20.9856
4,0.01,0.2937,21.8371
5,0.01,0.5461,22.9867
6,0.01,0.8567,24.2618
7,0.01,1.2143,25.6017
8,0.01,1.6107,26.9749
9,0.01,2.0394,28.3643
10,0.01,2.4958,29.7602
11,0.01,2.976,31.158
12,0.01,3.4771,32.5543
13,0.01,3.9968,33.9474
14,0.01,4.5329,35.3358
15,0.01,5.084,36.7192
16,0.01,5.6487,38.0968
17,0.01,6.2256,39.4688
18,0.01,6.8139,40.8347
19,0.01,7.4126,42.1952
20,0.01,8.0209,43.5498
21,0.01,8.6383,44.8989
22,0.01,9.264,46.2426
23,0.01,9.8976,47.581
24,0.01,10.5385,48.9144
25,0.01,11.1864,50.2428
26,0.01,11.8408,51.5665
27,0.01,12.5014,52.8856
28,0.01,13.1678,54.2002
29,0.01,13.8397,55.5107
30,0.01,14.517,56.8169
40,0.01,21.5331,69.6808
50,0.01,28.8879,82.2534
60,0.01,36.4863,94.6063
70,0.01,44.2711,106.7867
80,0.01,52.2044,118.8272
90,0.01,60.2597,130.7514
100,0.01,68.4177,142.5771
150,0.01,110.3262,200.6194
200,0.01,153.4834,257.4375
250,0.01,197.444,313.462
300,0.01,241.9776,368.9185
