expert,measurement,Wine_1,Wine_2,Wine_3,Wine_4,Wine_5
expert_a,2019-01-01,0.7,0.6,0.3,0.1,0.8
expert_a,2019-01-02,0.6,0.7,0.4,0.2,0.8
expert_a,2019-01-03,0.65,0.65,0.35,0.15,0.8
expert_a,2019-01-04,0.65,0.65,0.35,0.15,0.8
expert_a,2019-01-05,0.62,0.61,0.37,0.17,0.78
expert_a,2019-01-06,0.62,0.62,0.36,0.16,0.78
expert_a,2019-01-07,0.62,0.63,0.35,0.17,0.78
expert_a,2019-01-08,0.64,0.64,0.38,0.17,0.81
expert_a,2019-01-09,0.64,0.65,0.39,0.2,0.81
expert_a,2019-01-10,0.64,0.66,0.32,0.2,0.81
expert_a,2019-01-11,0.65,0.67,0.31,0.18,0.79
expert_a,2019-01-12,0.66,0.68,0.32,0.18,0.8
expert_a,2019-01-13,0.67,0.69,0.32,0.19,0.83
expert_a,2019-01-14,0.69,0.7,0.33,0.19,0.83
expert_a,2019-01-15,0.69,0.61,0.34,0.12,0.82
expert_a,2019-01-16,0.7,0.62,0.31,0.12,0.81
expert_a,2019-01-17,0.7,0.63,0.34,0.13,0.8
expert_a,2019-01-18,0.6,0.64,0.36,0.15,0.78
expert_a,2019-01-19,0.61,0.65,0.37,0.14,0.78
expert_a,2019-01-20,0.62,0.66,0.36,0.16,0.8
expert_a,2019-01-21,0.61,0.67,0.38,0.14,0.82
expert_a,2019-01-22,0.61,0.68,0.37,0.13,0.81
expert_a,2019-01-23,0.63,0.69,0.39,0.12,0.78
expert_a,2019-01-24,0.61,0.66,0.37,0.17,0.77
expert_a,2019-01-25,0.66,0.66,0.36,0.18,0.79
expert_a,2019-01-26,0.61,0.63,0.35,0.17,0.8
expert_a,2019-01-27,0.69,0.63,0.35,0.19,0.81
expert_a,2019-01-28,0.7,0.62,0.39,0.2,0.8
expert_a,2019-01-29,0.66,0.61,0.33,0.17,0.76
expert_a,2019-01-30,0.69,0.68,0.32,0.16,0.81
expert_a,2019-01-31,0.66,0.68,0.32,0.18,0.8
expert_a,2019-02-01,0.67,0.69,0.32,0.19,0.83
expert_a,2019-02-02,0.69,0.7,0.33,0.19,0.83
expert_a,2019-02-03,0.69,0.61,0.34,0.12,0.82
expert_a,2019-02-04,0.7,0.62,0.31,0.12,0.81
expert_a,2019-02-05,0.7,0.63,0.34,0.13,0.8
expert_a,2019-02-06,0.6,0.64,0.36,0.15,0.78
expert_a,2019-02-07,0.61,0.65,0.37,0.14,0.78
expert_a,2019-02-08,0.62,0.66,0.36,0.16,0.8
expert_a,2019-02-09,0.61,0.67,0.38,0.14,0.82
expert_b,2019-01-01,0.3,0.2,0.2,0.3,0.2
expert_b,2019-01-02,0.6,0.8,0.8,0.9,0.7
expert_b,2019-01-03,0.1,0.5,0.4,0.6,0.52
expert_b,2019-01-04,0.9,0.1,0.9,0.1,0.9
expert_b,2019-01-05,0.2,0.12,0.21,0.31,0.21
expert_b,2019-01-06,0.8,0.56,0.79,0.89,0.69
expert_b,2019-01-07,0.12,0.54,0.22,0.32,0.22
expert_b,2019-01-08,0.86,0.22,0.78,0.88,0.68
expert_b,2019-01-09,0.15,0.23,0.23,0.33,0.9
expert_b,2019-01-10,0.75,0.82,0.24,0.87,0.53
expert_b,2019-01-11,0.22,0.22,0.76,0.34,0.89
expert_b,2019-01-12,0.68,0.51,0.21,0.86,0.52
expert_b,2019-01-13,0.21,0.51,0.79,0.33,0.88
expert_b,2019-01-14,0.88,0.66,0.9,0.87,0.51
expert_b,2019-01-15,0.9,0.82,0.2,0.35,0.55
expert_b,2019-01-16,0.1,0.21,0.2,0.85,0.85
expert_b,2019-01-17,0.1,0.12,0.9,0.34,0.68
expert_b,2019-01-18,0.9,0.89,0.21,0.86,0.23
expert_b,2019-01-19,0.15,0.91,0.78,0.1,0.22
expert_b,2019-01-20,0.85,0.15,0.78,0.6,0.68
expert_b,2019-01-21,0.15,0.22,0.21,0.12,0.66
expert_b,2019-01-22,0.95,0.16,0.22,0.61,0.26
expert_b,2019-01-23,0.25,0.88,0.79,0.11,0.69
expert_b,2019-01-24,0.75,0.17,0.79,0.62,0.21
expert_b,2019-01-25,0.22,0.19,0.23,0.33,0.22
expert_b,2019-01-26,0.88,0.78,0.87,0.87,0.68
expert_b,2019-01-27,0.66,0.23,0.21,0.32,0.21
expert_b,2019-01-28,0.44,0.87,0.79,0.88,0.67
expert_b,2019-01-29,0.12,0.88,0.22,0.88,0.68
expert_b,2019-01-30,0.86,0.16,0.76,0.36,0.22
expert_b,2019-01-31,0.9,0.82,0.2,0.35,0.55
expert_b,2019-02-01,0.1,0.21,0.2,0.85,0.85
expert_b,2019-02-02,0.1,0.12,0.9,0.34,0.68
expert_b,2019-02-03,0.9,0.89,0.21,0.86,0.23
expert_b,2019-02-04,0.15,0.91,0.78,0.1,0.22
expert_b,2019-02-05,0.85,0.15,0.78,0.6,0.68
expert_b,2019-02-06,0.15,0.22,0.21,0.12,0.66
expert_b,2019-02-07,0.95,0.16,0.22,0.61,0.26
expert_b,2019-02-08,0.25,0.88,0.79,0.11,0.69
expert_b,2019-02-09,0.86,0.16,0.76,0.36,0.22
expert_c,2019-01-01,0.6,0.8,0.9,0.89,0.1
expert_c,2019-01-02,0.2,0.3,0.15,0.64,0.89
expert_c,2019-01-03,0.4,0.8,0.85,0.74,0.18
expert_c,2019-01-04,0.8,0.2,0.16,0.99,0.99
expert_c,2019-01-05,0.58,0.79,0.88,0.88,0.13
expert_c,2019-01-06,0.61,0.8,0.89,0.89,0.12
expert_c,2019-01-07,0.59,0.78,0.91,0.9,0.14
expert_c,2019-01-08,0.62,0.81,0.87,0.91,0.15
expert_c,2019-01-09,0.58,0.82,0.86,0.92,0.16
expert_c,2019-01-10,0.62,0.76,0.88,0.93,0.17
expert_c,2019-01-11,0.21,0.77,0.82,0.94,0.18
expert_c,2019-01-12,0.22,0.79,0.86,0.95,0.19
expert_c,2019-01-13,0.23,0.82,0.88,0.96,0.1
expert_c,2019-01-14,0.2,0.33,0.89,0.97,0.12
expert_c,2019-01-15,0.22,0.32,0.9,0.98,0.13
expert_c,2019-01-16,0.21,0.31,0.92,0.99,0.99
expert_c,2019-01-17,0.8,0.3,0.91,0.91,0.98
expert_c,2019-01-18,0.79,0.29,0.89,0.9,0.97
expert_c,2019-01-19,0.78,0.28,0.15,0.64,0.96
expert_c,2019-01-20,0.77,0.27,0.16,0.65,0.95
expert_c,2019-01-21,0.76,0.26,0.17,0.66,0.94
expert_c,2019-01-22,0.44,0.25,0.18,0.67,0.93
expert_c,2019-01-23,0.43,0.24,0.15,0.68,0.92
expert_c,2019-01-24,0.42,0.32,0.16,0.69,0.91
expert_c,2019-01-25,0.41,0.31,0.15,0.7,0.9
expert_c,2019-01-26,0.4,0.33,0.14,0.71,0.89
expert_c,2019-01-27,0.6,0.21,0.13,0.72,0.88
expert_c,2019-01-28,0.58,0.22,0.12,0.73,0.87
expert_c,2019-01-29,0.79,0.76,0.15,0.74,0.12
expert_c,2019-01-30,0.81,0.78,0.15,0.7,0.16
expert_c,2019-01-31,0.78,0.28,0.15,0.64,0.96
expert_c,2019-02-01,0.77,0.27,0.16,0.65,0.95
expert_c,2019-02-02,0.76,0.26,0.17,0.66,0.94
expert_c,2019-02-03,0.44,0.25,0.18,0.67,0.93
expert_c,2019-02-04,0.43,0.24,0.15,0.68,0.92
expert_c,2019-02-05,0.42,0.32,0.16,0.69,0.91
expert_c,2019-02-06,0.41,0.31,0.15,0.7,0.9
expert_c,2019-02-07,0.4,0.33,0.14,0.71,0.89
expert_c,2019-02-08,0.6,0.21,0.13,0.72,0.88
expert_c,2019-02-09,0.58,0.22,0.12,0.73,0.87
